"Method","Rank","Noise_SD","Coherence","Mean_RMSE","SD_RMSE","N_rep"
"RGD",5,0,0,1e-06,0,20
"RGN",5,0,0,0,0,20
"CP-ALS",5,0,0,0,0,20
"Orth-ALS",5,0,0,0,0,20
"ICO",5,0,0,0,0,20
"MSPM",5,0,0,0.70828,0.157317,20
"RGD",5,0,0.2,4e-05,1.3e-05,20
"RGN",5,0,0.2,0,0,20
"CP-ALS",5,0,0.2,0,0,20
"Orth-ALS",5,0,0.2,0.057913,0,20
"ICO",5,0,0.2,0,0,20
"MSPM",5,0,0.2,0.674259,0.162156,20
"RGD",5,0,0.5,0.022454,0.005935,20
"RGN",5,0,0.5,3e-05,7e-06,20
"CP-ALS",5,0,0.5,1.6e-05,2e-06,20
"Orth-ALS",5,0,0.5,0.393726,0,20
"ICO",5,0,0.5,0,0,20
"MSPM",5,0,0.5,0.65205,0.107457,20
"RGD",5,0,0.9,0.019721,0.005825,20
"RGN",5,0,0.9,0.015271,0.00226,20
"CP-ALS",5,0,0.9,0.008486,4.7e-05,20
"Orth-ALS",5,0,0.9,0.226997,0,20
"ICO",5,0,0.9,0,0,20
"MSPM",5,0,0.9,0.602008,0.09875,20
"RGD",5,0.5,0,0.009043,0.00021,20
"RGN",5,0.5,0,0.009043,0.00021,20
"CP-ALS",5,0.5,0,0.009003,0.000204,20
"Orth-ALS",5,0.5,0,0.009003,0.000203,20
"ICO",5,0.5,0,0.009002,0.000202,20
"MSPM",5,0.5,0,0.679372,0.174251,20
"RGD",5,0.5,0.2,0.009015,0.000149,20
"RGN",5,0.5,0.2,0.009015,0.000149,20
"CP-ALS",5,0.5,0.2,0.008984,0.000141,20
"Orth-ALS",5,0.5,0.2,0.058522,0.000401,20
"ICO",5,0.5,0.2,0.009569,0.000143,20
"MSPM",5,0.5,0.2,0.630446,0.138543,20
"RGD",5,0.5,0.5,0.014457,0.001448,20
"RGN",5,0.5,0.5,0.008651,0.000126,20
"CP-ALS",5,0.5,0.5,0.008629,0.00012,20
"Orth-ALS",5,0.5,0.5,0.393341,0.000675,20
"ICO",5,0.5,0.5,0.013616,0.000271,20
"MSPM",5,0.5,0.5,0.567147,0.088091,20
"RGD",5,0.5,0.9,0.020064,0.004508,20
"RGN",5,0.5,0.9,0.021624,0.005134,20
"CP-ALS",5,0.5,0.9,0.011855,0.002084,20
"Orth-ALS",5,0.5,0.9,0.217593,0.003615,20
"ICO",5,0.5,0.9,0.076471,0.012849,20
"MSPM",5,0.5,0.9,0.53747,0.073753,20
"RGD",5,1,0,0.01823,0.000356,20
"RGN",5,1,0,0.01823,0.000356,20
"CP-ALS",5,1,0,0.018156,0.000356,20
"Orth-ALS",5,1,0,0.018154,0.000354,20
"ICO",5,1,0,0.018145,0.00036,20
"MSPM",5,1,0,0.578747,0.102066,20
