"Method","R_true","SD","Coherence","Mean_Time_s","SD_Time_s"
"CP-ALS",5,0,0,0.8884,0.5135
"ICO",5,0,0,16.2221,5.6891
"Orth-ALS",5,0,0,2.8654,1.5608
"RGD",5,0,0,7.1346,2.3839
"RGN",5,0,0,7.1633,2.4748
"CP-ALS",5,0,0.2,0.9563,0.5021
"ICO",5,0,0.2,17.4818,5.6733
"Orth-ALS",5,0,0.2,3.1558,1.5879
"RGD",5,0,0.2,7.3638,2.4453
"RGN",5,0,0.2,7.5382,2.4234
"CP-ALS",5,0,0.5,0.9377,0.4866
"ICO",5,0,0.5,17.2484,5.5431
"Orth-ALS",5,0,0.5,3.1191,1.4941
"RGD",5,0,0.5,7.5482,2.3129
"RGN",5,0,0.5,7.6349,2.2945
"CP-ALS",5,0,0.9,0.963,0.4851
"ICO",5,0,0.9,17.1946,5.5538
"Orth-ALS",5,0,0.9,3.1151,1.4939
"RGD",5,0,0.9,7.49,2.2316
"RGN",5,0,0.9,7.5554,2.3107
"CP-ALS",5,0.5,0,1.0741,0.4732
"ICO",5,0.5,0,18.5004,5.2049
"Orth-ALS",5,0.5,0,3.4637,1.458
"RGD",5,0.5,0,8.0106,2.2022
"RGN",5,0.5,0,8.115,2.1999
"CP-ALS",5,0.5,0.2,0.9458,0.4338
"ICO",5,0.5,0.2,17.8158,5.2263
"Orth-ALS",5,0.5,0.2,3.1927,1.3814
"RGD",5,0.5,0.2,7.7949,1.8718
"RGN",5,0.5,0.2,7.9776,1.8739
"CP-ALS",5,0.5,0.5,0.9437,0.4899
"ICO",5,0.5,0.5,16.7745,5.5398
"Orth-ALS",5,0.5,0.5,3.0181,1.5364
"RGD",5,0.5,0.5,7.345,2.3457
"RGN",5,0.5,0.5,7.533,2.3402
"CP-ALS",5,0.5,0.9,0.8724,0.4632
"ICO",5,0.5,0.9,16.7469,5.554
"Orth-ALS",5,0.5,0.9,2.9288,1.4942
"RGD",5,0.5,0.9,7.2579,2.2902
"RGN",5,0.5,0.9,7.3416,2.2756
"CP-ALS",5,1,0,0.8887,0.482
