"method","rank","sd_noise","coh","mean_sec","median_sec","sd_sec","n_rep"
"CP-ALS",5,0,0,18.7013,14.2905,7.39214685075709,20
"RGD",5,0,0,4.3153,2.64700000000001,2.947504316322,20
"RGN",5,0,0,89.4139,66.8625,55.5420739514792,20
"CP-ALS",5,0,0.2,18.07645,14.602,6.9702469070139,20
"RGD",5,0,0.2,4.01275,2.5655,2.77749386990654,20
"RGN",5,0,0.2,82.49925,63.133,52.2279601140141,20
"CP-ALS",5,0,0.5,20.5543,14.8805,7.97763316107175,20
"RGD",5,0,0.5,4.9672,2.787,3.19173133350274,20
"RGN",5,0,0.5,101.253,67.5785,58.3971223777337,20
"CP-ALS",5,0,0.9,19.94215,14.8425,7.82595744453573,20
"RGD",5,0,0.9,4.6736,2.6985,3.13596892438953,20
"RGN",5,0,0.9,99.22775,75.8085,56.2144981962885,20
"CP-ALS",5,0.5,0,20.1464,15.242,7.65505195004546,20
"RGD",5,0.5,0,4.6827,2.784,3.06855519062225,20
"RGN",5,0.5,0,92.45045,65.7685,57.7100052061348,20
"CP-ALS",5,0.5,0.2,19.227,14.879,7.51443048932834,20
"RGD",5,0.5,0.2,4.39025,2.7325,3.01018591618524,20
"RGN",5,0.5,0.2,90.17925,66.215,56.169710833729,20
"CP-ALS",5,0.5,0.5,16.85365,14.6385,5.75126679203442,20
"RGD",5,0.5,0.5,3.44705,2.505,2.35336675905639,20
"RGN",5,0.5,0.5,71.96235,57.032,43.6285406348148,20
"CP-ALS",5,0.5,0.9,17.6038,14.606,6.33010627332424,20
"RGD",5,0.5,0.9,3.71895,2.57950000000001,2.60598023733267,20
"RGN",5,0.5,0.9,74.6191,54.1205,49.9296206094138,20
"CP-ALS",5,1,0,21.28435,14.795,8.30728794984133,20
"RGD",5,1,0,5.3496,2.938,3.39524454432806,20
"RGN",5,1,0,102.62955,74.409,62.0866608798371,20
"CP-ALS",5,1,0.2,17.98375,14.2585,7.29325883318937,20
